county_code,county_name,pixel_value,pixel_count
1,Aitkin,11,254
1,Aitkin,20,446
1,Aitkin,18,273
1,Aitkin,2,3996
1,Aitkin,16,343
1,Aitkin,9,55
1,Aitkin,4,1074
1,Aitkin,6,1077
1,Aitkin,12,76
3,Anoka,2,42
3,Anoka,22,116
3,Anoka,20,141
3,Anoka,6,24
3,Anoka,11,44
3,Anoka,16,980
3,Anoka,4,330
5,Becker,11,141
5,Becker,14,3
5,Becker,18,1200
5,Becker,16,1160
5,Becker,6,856
5,Becker,2,1275
5,Becker,9,87
5,Becker,22,10
5,Becker,4,51
5,Becker,20,390
5,Becker,12,290
7,Beltrami,6,2413
7,Beltrami,18,1013
7,Beltrami,16,495
7,Beltrami,9,802
7,Beltrami,14,8
7,Beltrami,22,12
7,Beltrami,4,256
7,Beltrami,13,52
7,Beltrami,11,919
7,Beltrami,12,23
7,Beltrami,2,3616
7,Beltrami,20,2389
9,Benton,4,60
9,Benton,9,4
9,Benton,16,1265
9,Benton,2,2
9,Benton,11,17
9,Benton,6,209
9,Benton,20,14
11,Big Stone,2,83
11,Big Stone,20,39
11,Big Stone,6,500
11,Big Stone,11,32
11,Big Stone,9,38
11,Big Stone,16,1037
11,Big Stone,4,231
11,Big Stone,22,3
13,Blue Earth,20,31
13,Blue Earth,11,73
13,Blue Earth,4,39
13,Blue Earth,6,350
13,Blue Earth,16,2279
13,Blue Earth,2,25
13,Blue Earth,22,4
13,Blue Earth,18,2
15,Brown,18,1
15,Brown,11,12
15,Brown,2,15
15,Brown,22,7
15,Brown,20,2
15,Brown,6,66
15,Brown,16,2131
17,Carlton,16,47
17,Carlton,2,1997
17,Carlton,4,501
17,Carlton,18,29
17,Carlton,20,9
17,Carlton,12,24
17,Carlton,6,751
17,Carlton,9,3
17,Carlton,22,8
19,Carver,6,69
19,Carver,14,3
19,Carver,2,18
19,Carver,16,1189
19,Carver,22,9
19,Carver,20,19
19,Carver,4,82
21,Cass,12,12
21,Cass,20,1448
21,Cass,14,12
21,Cass,9,30
21,Cass,2,3456
21,Cass,11,184
21,Cass,16,585
21,Cass,22,3
21,Cass,6,2332
21,Cass,18,511
21,Cass,4,739
21,Cass,13,4
23,Chippewa,16,2095
23,Chippewa,20,3
23,Chippewa,2,11
23,Chippewa,4,20
23,Chippewa,22,5
23,Chippewa,6,47
23,Chippewa,9,3
25,Chisago,2,149
25,Chisago,9,3
25,Chisago,6,209
25,Chisago,20,47
25,Chisago,16,929
25,Chisago,11,43
25,Chisago,4,252
27,Clay,6,22
27,Clay,18,410
27,Clay,14,21
27,Clay,12,751
27,Clay,20,8
27,Clay,22,3
27,Clay,15,3
27,Clay,9,1
27,Clay,16,2784
27,Clay,2,10
29,Clearwater,2,1806
29,Clearwater,16,619
29,Clearwater,6,882
29,Clearwater,4,30
29,Clearwater,20,159
29,Clearwater,18,466
29,Clearwater,12,9
29,Clearwater,11,57
31,Cook,9,102
31,Cook,14,12
31,Cook,12,2
31,Cook,18,61
31,Cook,6,2929
31,Cook,4,575
31,Cook,20,447
31,Cook,2,1846
31,Cook,11,305
33,Cottonwood,11,6
33,Cottonwood,9,3
33,Cottonwood,16,2287
33,Cottonwood,4,3
33,Cottonwood,6,59
33,Cottonwood,20,5
33,Cottonwood,2,3
33,Cottonwood,22,4
35,Crow Wing,16,306
35,Crow Wing,18,61
35,Crow Wing,9,12
35,Crow Wing,4,1516
35,Crow Wing,20,529
35,Crow Wing,2,1412
35,Crow Wing,6,480
35,Crow Wing,22,17
35,Crow Wing,11,67
37,Dakota,22,101
37,Dakota,16,1800
37,Dakota,11,3
37,Dakota,4,123
37,Dakota,6,33
37,Dakota,9,3
37,Dakota,2,41
37,Dakota,20,74
39,Dodge,16,1610
39,Dodge,6,13
41,Douglas,20,193
41,Douglas,2,237
41,Douglas,13,16
41,Douglas,6,315
41,Douglas,22,8
41,Douglas,11,31
41,Douglas,16,1309
41,Douglas,4,590
41,Douglas,14,9
41,Douglas,9,20
43,Faribault,2,4
43,Faribault,6,173
43,Faribault,11,111
43,Faribault,18,7
43,Faribault,20,15
43,Faribault,22,4
43,Faribault,16,2261
43,Faribault,4,15
45,Fillmore,16,2766
45,Fillmore,2,27
45,Fillmore,6,282
45,Fillmore,22,6
47,Freeborn,16,2408
47,Freeborn,9,8
47,Freeborn,4,72
47,Freeborn,2,6
47,Freeborn,22,12
47,Freeborn,6,113
47,Freeborn,20,14
49,Goodhue,22,15
49,Goodhue,6,214
49,Goodhue,4,51
49,Goodhue,20,132
49,Goodhue,2,43
49,Goodhue,16,2404
51,Grant,20,60
51,Grant,2,94
51,Grant,11,38
51,Grant,22,4
51,Grant,9,3
51,Grant,6,185
51,Grant,16,1650
51,Grant,18,3
51,Grant,4,127
53,Hennepin,6,28
53,Hennepin,4,330
53,Hennepin,11,7
53,Hennepin,16,961
53,Hennepin,20,125
53,Hennepin,2,23
53,Hennepin,14,3
53,Hennepin,22,769
53,Hennepin,13,4
55,Houston,4,98
55,Houston,16,852
55,Houston,6,801
55,Houston,2,96
55,Houston,22,18
55,Houston,20,144
57,Hubbard,2,1365
57,Hubbard,13,8
57,Hubbard,20,139
57,Hubbard,18,607
57,Hubbard,6,949
57,Hubbard,9,45
57,Hubbard,11,479
57,Hubbard,12,24
57,Hubbard,4,168
57,Hubbard,16,42
59,Isanti,11,22
59,Isanti,4,174
59,Isanti,6,226
59,Isanti,16,1199
59,Isanti,2,43
59,Isanti,20,23
61,Itasca,18,331
61,Itasca,4,148
61,Itasca,12,115
61,Itasca,14,11
61,Itasca,6,4065
61,Itasca,9,47
61,Itasca,11,561
61,Itasca,2,5121
61,Itasca,15,4
61,Itasca,22,8
61,Itasca,16,81
61,Itasca,20,819
63,Jackson,13,8
63,Jackson,16,2334
63,Jackson,11,20
63,Jackson,2,5
63,Jackson,6,40
63,Jackson,4,66
63,Jackson,18,31
63,Jackson,22,3
63,Jackson,20,39
65,Kanabec,20,8
65,Kanabec,16,686
65,Kanabec,6,438
65,Kanabec,4,84
65,Kanabec,2,804
67,Kandiyohi,16,2380
67,Kandiyohi,2,61
67,Kandiyohi,4,412
67,Kandiyohi,11,20
67,Kandiyohi,22,6
67,Kandiyohi,6,176
67,Kandiyohi,9,20
67,Kandiyohi,20,170
69,Kittson,2,444
69,Kittson,18,435
69,Kittson,12,96
69,Kittson,15,452
69,Kittson,16,2846
69,Kittson,9,15
69,Kittson,6,102
69,Kittson,11,9
71,Koochiching,12,15
71,Koochiching,2,2864
71,Koochiching,18,633
71,Koochiching,6,4658
71,Koochiching,11,2048
71,Koochiching,4,1287
71,Koochiching,20,221
71,Koochiching,16,114
71,Koochiching,13,7
71,Koochiching,14,1
71,Koochiching,9,581
73,Lac qui Parle,6,650
73,Lac qui Parle,9,11
73,Lac qui Parle,4,92
73,Lac qui Parle,20,41
73,Lac qui Parle,16,2035
73,Lac qui Parle,2,8
73,Lac qui Parle,18,9
73,Lac qui Parle,13,3
73,Lac qui Parle,22,7
75,Lake,12,1
75,Lake,22,12
75,Lake,6,4589
75,Lake,9,93
75,Lake,4,1295
75,Lake,18,72
75,Lake,2,1864
75,Lake,20,498
75,Lake,11,477
77,Lake of the Woods,13,5
77,Lake of the Woods,11,616
77,Lake of the Woods,2,736
77,Lake of the Woods,16,392
77,Lake of the Woods,18,1288
77,Lake of the Woods,4,339
77,Lake of the Woods,6,1380
77,Lake of the Woods,12,19
77,Lake of the Woods,20,2067
77,Lake of the Woods,15,48
77,Lake of the Woods,9,114
79,Le Sueur,22,3
79,Le Sueur,4,67
79,Le Sueur,11,8
79,Le Sueur,6,107
79,Le Sueur,16,1510
79,Le Sueur,18,3
79,Le Sueur,20,38
79,Le Sueur,2,19
81,Lincoln,16,1863
81,Lincoln,20,31
81,Lincoln,13,7
81,Lincoln,11,4
81,Lincoln,2,5
81,Lincoln,4,45
81,Lincoln,6,41
83,Lyon,4,11
83,Lyon,20,12
83,Lyon,22,16
83,Lyon,2,7
83,Lyon,6,100
83,Lyon,16,2498
85,McLeod,16,1680
85,McLeod,22,13
85,McLeod,6,81
85,McLeod,4,20
85,McLeod,11,8
85,McLeod,20,18
85,McLeod,2,26
87,Mahnomen,12,318
87,Mahnomen,15,7
87,Mahnomen,11,12
87,Mahnomen,20,59
87,Mahnomen,2,610
87,Mahnomen,18,403
87,Mahnomen,6,309
87,Mahnomen,16,543
89,Marshall,11,96
89,Marshall,18,467
89,Marshall,6,352
89,Marshall,16,4835
89,Marshall,15,158
89,Marshall,9,28
89,Marshall,20,109
89,Marshall,4,35
89,Marshall,2,533
89,Marshall,12,474
91,Martin,4,34
91,Martin,16,2365
91,Martin,6,85
91,Martin,22,9
91,Martin,18,12
91,Martin,20,30
91,Martin,11,38
