"gis_join_match_code","state_name","county_name","county_code","total_population","male","female","white_alone","black_alone","american_indian_alone","asian_alone","hawaiian_pi_alone","sor_alone"
"G2700010770100","Minnesota","Aitkin County",1,2285,1237,1048,2170,0,20,46,0,0
"G2700010770200","Minnesota","Aitkin County",1,2326,1204,1122,2217,2,11,3,0,0
"G2700010770300","Minnesota","Aitkin County",1,3787,1803,1984,3671,9,14,0,0,60
"G2700010770400","Minnesota","Aitkin County",1,2701,1456,1245,2411,0,267,1,0,0
"G2700010790501","Minnesota","Aitkin County",1,2011,1028,983,1939,0,52,5,0,2
"G2700010790502","Minnesota","Aitkin County",1,3215,1634,1581,3195,3,0,1,0,2
"G2700030050107","Minnesota","Anoka County",3,2884,1460,1424,2779,50,9,10,0,0
"G2700030050108","Minnesota","Anoka County",3,4469,2324,2145,4346,7,37,6,0,10
"G2700030050109","Minnesota","Anoka County",3,4908,2462,2446,4762,7,41,24,0,4
"G2700030050110","Minnesota","Anoka County",3,2919,1567,1352,2692,0,21,127,0,0
"G2700030050111","Minnesota","Anoka County",3,3773,1900,1873,3547,0,60,10,0,20
"G2700030050114","Minnesota","Anoka County",3,2793,1408,1385,2751,0,0,33,0,0
"G2700030050115","Minnesota","Anoka County",3,5088,2537,2551,4850,38,8,82,0,4
"G2700030050116","Minnesota","Anoka County",3,4319,2164,2155,4212,28,0,70,0,9
"G2700030050208","Minnesota","Anoka County",3,3396,1741,1655,3277,19,9,44,0,0
"G2700030050210","Minnesota","Anoka County",3,3945,2087,1858,3780,0,11,131,0,11
"G2700030050215","Minnesota","Anoka County",3,3913,1922,1991,3816,15,7,25,0,12
"G2700030050216","Minnesota","Anoka County",3,5272,2832,2440,5148,0,9,49,0,0
"G2700030050217","Minnesota","Anoka County",3,2615,1503,1112,2454,0,8,103,0,33
"G2700030050218","Minnesota","Anoka County",3,3151,1638,1513,2987,0,0,122,0,0
"G2700030050219","Minnesota","Anoka County",3,3180,1621,1559,3055,0,0,13,0,34
"G2700030050220","Minnesota","Anoka County",3,6419,3273,3146,6157,229,10,0,0,23
"G2700030050221","Minnesota","Anoka County",3,6039,3055,2984,5769,43,9,70,0,34
"G2700030050222","Minnesota","Anoka County",3,5297,2664,2633,4973,16,0,54,0,124
"G2700030050223","Minnesota","Anoka County",3,2566,1269,1297,2479,0,0,0,77,10
"G2700030050224","Minnesota","Anoka County",3,2758,1459,1299,2747,0,0,0,0,0
"G2700030050225","Minnesota","Anoka County",3,5971,3108,2863,5510,255,13,160,0,0
"G2700030050226","Minnesota","Anoka County",3,2717,1311,1406,2313,179,8,101,0,0
"G2700030050227","Minnesota","Anoka County",3,4386,2186,2200,4114,51,0,119,0,14
"G2700030050228","Minnesota","Anoka County",3,4527,2329,2198,3870,99,14,392,0,76
"G2700030050229","Minnesota","Anoka County",3,5604,3505,2099,4747,496,85,85,0,75
"G2700030050230","Minnesota","Anoka County",3,2362,1227,1135,2122,0,34,140,0,17
"G2700030050232","Minnesota","Anoka County",3,3716,1911,1805,3561,0,0,59,7,39
"G2700030050233","Minnesota","Anoka County",3,2680,1329,1351,2489,33,28,48,0,65
"G2700030050234","Minnesota","Anoka County",3,2959,1606,1353,2936,0,0,0,19,0
"G2700030050235","Minnesota","Anoka County",3,2809,1440,1369,2656,0,0,106,0,38
"G2700030050236","Minnesota","Anoka County",3,4098,1936,2162,3742,61,0,269,0,0
"G2700030050237","Minnesota","Anoka County",3,5040,2659,2381,4653,82,27,217,0,0
"G2700030050401","Minnesota","Anoka County",3,3180,1482,1698,2717,120,164,62,35,10
"G2700030050402","Minnesota","Anoka County",3,3612,1664,1948,3470,8,69,44,0,21
"G2700030050501","Minnesota","Anoka County",3,3332,1799,1533,3029,186,58,0,0,0
"G2700030050504","Minnesota","Anoka County",3,2409,1065,1344,2179,175,41,0,0,0
"G2700030050505","Minnesota","Anoka County",3,4916,2587,2329,4323,255,9,137,0,20
"G2700030050602","Minnesota","Anoka County",3,2311,1212,1099,2186,55,40,11,0,11
"G2700030050605","Minnesota","Anoka County",3,5596,2728,2868,4854,111,0,118,0,255
"G2700030050606","Minnesota","Anoka County",3,2043,826,1217,1708,127,41,88,0,0
"G2700030050607","Minnesota","Anoka County",3,4674,2187,2487,4088,219,38,141,0,109
"G2700030050608","Minnesota","Anoka County",3,4346,2119,2227,3987,92,0,177,0,14
"G2700030050609","Minnesota","Anoka County",3,3450,1749,1701,3103,135,76,87,0,0
"G2700030050610","Minnesota","Anoka County",3,6686,3346,3340,5903,93,21,476,0,83
"G2700030050702","Minnesota","Anoka County",3,3291,1648,1643,3055,53,18,123,0,35
"G2700030050704","Minnesota","Anoka County",3,4977,2676,2301,4109,416,69,152,0,114
"G2700030050706","Minnesota","Anoka County",3,3124,1490,1634,2647,271,31,55,0,0
"G2700030050707","Minnesota","Anoka County",3,5980,3034,2946,5427,65,0,294,0,0
"G2700030050709","Minnesota","Anoka County",3,2647,1218,1429,2219,0,0,183,0,230
"G2700030050710","Minnesota","Anoka County",3,3646,1859,1787,2829,283,22,162,0,322
"G2700030050711","Minnesota","Anoka County",3,4816,2194,2622,4295,274,0,130,0,62
"G2700030050712","Minnesota","Anoka County",3,4403,2010,2393,3978,186,0,111,0,16
"G2700030050805","Minnesota","Anoka County",3,6602,3220,3382,5845,286,0,383,0,0
"G2700030050806","Minnesota","Anoka County",3,6357,2969,3388,4976,239,234,597,0,65
"G2700030050807","Minnesota","Anoka County",3,3307,1722,1585,2847,154,0,195,0,19
"G2700030050808","Minnesota","Anoka County",3,1998,890,1108,1796,89,16,0,0,16
"G2700030050809","Minnesota","Anoka County",3,5982,3143,2839,4946,68,61,763,0,0
"G2700030050810","Minnesota","Anoka County",3,3907,1711,2196,3435,93,19,144,0,188
"G2700030050811","Minnesota","Anoka County",3,2793,1437,1356,2535,0,13,134,0,0
"G2700030050813","Minnesota","Anoka County",3,6554,3125,3429,5414,0,23,667,0,59
"G2700030050816","Minnesota","Anoka County",3,4271,2058,2213,3751,184,19,91,0,35
"G2700030050818","Minnesota","Anoka County",3,3658,1668,1990,2889,98,20,500,0,10
"G2700030050819","Minnesota","Anoka County",3,2804,1307,1497,2179,126,5,476,0,9
"G2700030050820","Minnesota","Anoka County",3,2849,1347,1502,2486,26,0,304,0,12
"G2700030050821","Minnesota","Anoka County",3,4331,2194,2137,3199,277,0,753,15,16
"G2700030050901","Minnesota","Anoka County",3,2215,1129,1086,2045,0,9,62,0,29
"G2700030050902","Minnesota","Anoka County",3,4914,2344,2570,4402,177,52,55,0,6
"G2700030051001","Minnesota","Anoka County",3,2339,1039,1300,2065,144,0,50,0,48
"G2700030051002","Minnesota","Anoka County",3,4034,1924,2110,3383,133,30,105,0,184
"G2700030051101","Minnesota","Anoka County",3,5052,2383,2669,4039,409,0,175,0,123
"G2700030051102","Minnesota","Anoka County",3,4668,2184,2484,3427,309,50,288,0,377
"G2700030051103","Minnesota","Anoka County",3,3446,1807,1639,2640,423,0,138,0,68
"G2700030051201","Minnesota","Anoka County",3,3749,1845,1904,2579,602,53,271,0,64
"G2700030051202","Minnesota","Anoka County",3,3246,1554,1692,2515,477,46,139,0,41
"G2700030051203","Minnesota","Anoka County",3,5133,2492,2641,4053,425,58,215,0,47
"G2700030051206","Minnesota","Anoka County",3,2173,1044,1129,1970,135,34,0,0,6
"G2700030051302","Minnesota","Anoka County",3,3836,1861,1975,2817,479,0,223,0,250
"G2700030051304","Minnesota","Anoka County",3,2663,1344,1319,2229,198,11,49,0,133
"G2700030051305","Minnesota","Anoka County",3,3134,1564,1570,2122,248,11,265,0,378
"G2700030051400","Minnesota","Anoka County",3,4971,2555,2416,3321,985,118,213,0,84
"G2700030051501","Minnesota","Anoka County",3,2669,1438,1231,1924,353,0,81,0,177
"G2700030051502","Minnesota","Anoka County",3,2796,1346,1450,1956,584,8,43,0,172
"G2700030051600","Minnesota","Anoka County",3,5081,2813,2268,5031,24,5,0,0,0
"G2700050450100","Minnesota","Becker County",5,2824,1467,1357,2699,0,25,0,0,6
"G2700050450200","Minnesota","Becker County",5,2122,1168,954,2008,8,35,0,0,0
"G2700050450300","Minnesota","Becker County",5,4985,2504,2481,4586,42,138,30,0,23
"G2700050450400","Minnesota","Becker County",5,2372,1227,1145,2154,17,70,0,0,21
"G2700050450500","Minnesota","Becker County",5,4124,1886,2238,3767,21,162,35,0,14
"G2700050450600","Minnesota","Becker County",5,3619,1527,2092,3365,31,122,29,21,0
"G2700050450700","Minnesota","Becker County",5,2924,1512,1412,2872,0,20,0,0,0
"G2700050450800","Minnesota","Becker County",5,2405,1307,1098,2255,0,59,0,0,0
"G2700050450900","Minnesota","Becker County",5,3109,1603,1506,3002,0,29,13,4,3
"G2700050940000","Minnesota","Becker County",5,3790,1896,1894,1920,7,1476,19,0,6
"G2700070450100","Minnesota","Beltrami County",7,6304,3216,3088,5447,8,469,78,0,27
"G2700070450200","Minnesota","Beltrami County",7,6190,2927,3263,5670,2,186,93,0,13
"G2700070450300","Minnesota","Beltrami County",7,4256,2300,1956,4037,4,70,77,0,12
"G2700070450400","Minnesota","Beltrami County",7,2609,1374,1235,2409,0,51,28,0,17
"G2700070450500","Minnesota","Beltrami County",7,1857,986,871,1823,1,8,0,0,7
"G2700070450600","Minnesota","Beltrami County",7,5424,2613,2811,4503,97,336,140,0,15
"G2700070450701","Minnesota","Beltrami County",7,4493,2270,2223,3941,0,314,18,0,19
"G2700070450702","Minnesota","Beltrami County",7,4905,2152,2753,3627,146,794,149,0,0
"G2700070940001","Minnesota","Beltrami County",7,5869,3079,2790,292,74,5174,22,188,0
"G2700070940002","Minnesota","Beltrami County",7,1874,996,878,1227,0,573,2,0,7
"G2700090020100","Minnesota","Benton County",9,5669,2748,2921,5609,0,12,4,0,10
"G2700090020202","Minnesota","Benton County",9,2879,1562,1317,2813,0,40,8,0,8
"G2700090020203","Minnesota","Benton County",9,1939,968,971,1889,4,4,0,0,5
"G2700090020205","Minnesota","Benton County",9,3099,1644,1455,3099,0,0,0,0,0
"G2700090020206","Minnesota","Benton County",9,2750,1304,1446,2683,11,0,35,0,4
"G2700090020300","Minnesota","Benton County",9,3202,1685,1517,3111,7,0,83,0,0
"G2700090021101","Minnesota","Benton County",9,7903,3823,4080,7433,76,113,74,0,0
"G2700090021102","Minnesota","Benton County",9,4254,2082,2172,4095,0,38,30,0,0
"G2700090021200","Minnesota","Benton County",9,6453,3281,3172,5502,486,58,197,0,0
"G2700110950100","Minnesota","Big Stone County",11,1454,741,713,1454,0,0,0,0,0
"G2700110950200","Minnesota","Big Stone County",11,1802,909,893,1786,0,4,0,0,2
"G2700110950300","Minnesota","Big Stone County",11,2068,989,1079,2000,17,0,11,0,12
"G2700130170100","Minnesota","Blue Earth County",13,4635,2353,2282,4480,20,11,11,0,0
"G2700130170200","Minnesota","Blue Earth County",13,5011,2492,2519,4688,103,0,142,0,0
"G2700130170300","Minnesota","Blue Earth County",13,3441,1927,1514,3025,39,0,64,0,273
"G2700130170400","Minnesota","Blue Earth County",13,3634,1565,2069,3251,236,0,37,0,31
"G2700130170500","Minnesota","Blue Earth County",13,4395,2069,2326,3960,182,0,95,0,44
"G2700130170600","Minnesota","Blue Earth County",13,2536,1047,1489,2214,179,22,73,0,3
"G2700130170700","Minnesota","Blue Earth County",13,2451,1238,1213,2346,22,9,36,0,0
"G2700130170800","Minnesota","Blue Earth County",13,4599,2198,2401,4325,65,0,35,0,0
"G2700130170900","Minnesota","Blue Earth County",13,3082,1610,1472,2951,31,37,12,0,5
"G2700130171000","Minnesota","Blue Earth County",13,3310,1742,1568,3279,14,0,0,0,17
"G2700130171101","Minnesota","Blue Earth County",13,4754,2536,2218,4436,117,6,83,0,74
"G2700130171202","Minnesota","Blue Earth County",13,5857,2980,2877,4983,428,0,386,0,8
"G2700130171300","Minnesota","Blue Earth County",13,3550,1867,1683,3488,0,5,19,0,2
"G2700130171400","Minnesota","Blue Earth County",13,3530,1879,1651,3417,0,0,70,2,16
"G2700130171500","Minnesota","Blue Earth County",13,2964,1462,1502,2935,2,14,0,0,4
"G2700130171600","Minnesota","Blue Earth County",13,4970,2395,2575,4479,152,0,172,0,16
"G2700150960101","Minnesota","Brown County",15,2027,1059,968,2012,0,0,15,0,0
